email, i meo
ph, pi ết
mexico, mê xi cô
inter, in tơ
dn, đi en
vb, vi bi
tpp, ti pi pi
jang, giang
hungary, hung ga ry
remix, ri míc
sport, sờ pót
next, nếch
vov, vê ô vê
photo, phô tô
mbccs, em bi xi xi ét
acb, a cê bê
hack, hách
dcom, đê com
lenin, lê nin
eu, e u
emily, e mi li
pleiku, pờ lây cu
gmail, gờ mêu
hcm, hồ chí minh
hcm, hồ chí minh
tp.hcm, thành phố hồ chí minh
tphcm, thành phố hồ chí minh
bulgaria, bun ga ri
maya, may a
view, viu
erik, e ríc
ka, ca
bye, bai
offline, ọp lai
lona, lô na
lotte, lót te
vietnam, việt nam
quick, quíc
zing, dinh
robin, rô bin
shopee, sốp pi
submit, sắp mít
ft5, ép ti phai
family, pha mi li
momo, mô mô
vff, vi ép ép
double, đắp bồ
max, mắc
nick, ních
oto, ô tô
milan, mi lan
app, áp
settings, sét tinh
viber, vai bơ
wto, v kép tê ô
sina, xi na
bomber, bom bơ
team, tim
techcombank, tếch com banh
out, ao
mv, em vi
tiktok, tích tóc
model, mo đồ
hi, hai
v50, vê năm mươi
htc, hát tê cê
honda, hon đa
toshiba, tô si ba
roma, rô ma
colombia, cô lôm bi a
fc, ép xi
cv, xi vi
lag, lác
peru, pê ru
make, mếch
sacombank, sa com banh
coccoc, cốc cốc
philippe, phi líp pin
john, don
v120, vê một trăm hai mươi
queen, quin
albert, an bớt
robert, rô bớt
airline, e lai
mt7, mờ tê bảy
super, súp pơ
maria, ma ri a
spa, sờ pa
harry, he ry
select, sê lếch
tony, tô ny
win, guyn
key, ki
huawei, hua guây
sorry, so ri
flc, ép lờ xê
comment, còm men
boot, bút
dancing, đan xinh
sum, săm
sctv, ét xi ti vi
xs, ích ét
cgv, xi gi vi
nepal, nê pan
uruguay, u ru guay
shipper, síp pơ
kitty, kít ti
myanmar, my an ma
washington, goa sinh tơn
brad, bờ rét
icon, ai cừn
siberia, si bê ri a
ftp, ép ti pi
ronaldo, rô nan đô
call, côn
henry, hen ri
tct, ti xi ti
fb, ép bi
chile, chi lê
moon, mun
donald, đô nan
fintech, fin tếch
follow, pho lâu
fx, ép ích
sleep, sờ líp
fifa, phi pha
alex, a lếch
tiki, ti ki
seoul, sơ un
victor, víc to
jc, giây xi
cup, cắp
mata, ma ta
bolero, bô lê rô
vietgap, việt gáp
hécta, héc ta
center, xen trờ
ibm, ai bi em
zalopay, da lô pây
cover, ca vờ
congo, công gô
coco, cô cô
inox, i nốc
five, phai
idol, ai đồ
victoria, vic to ri a
eth, e tê hát
pgs.ts, phó giáo sư tiến sĩ
ts, tiến sĩ
sn, sinh năm
ths.bs, thạc sĩ bác sĩ
bhyt, bảo hiểm y tế
clb, câu lạc bộ
hlv, huấn luyện viên
hecta, héc ta
qđnd, quân đội nhân dân
vn, việt nam
pv, phóng viên
ctv, cộng tác viên
nsnd, nghệ sĩ nhân dân
tt&tt, thông tin và truyền thông
ekyc, i cây goai xi
vnpay, vi en pây
vnpay, vi en pây
momo, mô mô
link, linh
link, linh
security, se cu ri ti
hdbank, hát đê banh
personal, pơ sừn nồ
otp, ô tê pê
videocall, vi deo côn
bank, banh
dai a bank, đại á bank
bamboo, bem bu
airway, e guây
banking, banh kinh
checkin, chếch in
lyly, ly ly
lili, li li
lily, li ly
lyli, ly li
lyly, ly ly
lily, li ly
lyly, ly ly
visa, vi da
infinite, in phi nít
platinum, pờ la ti num
tiki, ti ki
shopee, sốp pi
lazada, la da đa
back, bách
pacific, pa xi phích
airlines, e lai
vietravel, việt tre vồ
vietjet, việt dét
air, e
h, hát
k, ca
dong hoi, đồng hới
dong hoi, đồng hới
ma dat cho, mã đặt chỗ .
ma dat cho, mã đặt chỗ .
ma dat cho, mã đặt chỗ .
mã đặt chỗ, mã đặt chỗ .
smart banking, sờ mát banh kinh
smartbanking, sờ mát banh kinh
inbox, in bốc
fanpage, phen pết
kyc, cây oai xi
v.v., vân vân
minigame, mi ni ghêm
mini game, mi ni ghêm
banking, banh kinh
zara, da ra
vincom, vin com
visa, vi da
cashback, cát bách
challenge, chên lừn
200k, hai trăm nghìn
65k, sáu mươi lăm nghìn
19009247, một chín không không chín hai bốn bảy
024.22200588, 02422200588
/024.22200588, hoặc số điện thoại 02422200588
/ 024.22200588, hoặc số điện thoại 02422200588
19009247/024.22200588, một chín không không chín hai bốn bảy hoặc số điện thoại 02422200588
19009247/02422200588, một chín không không chín hai bốn bảy hoặc số điện thoại 02422200588
19009247 / 024.22200588, một chín không không chín hai bốn bảy hoặc số điện thoại 02422200588
02422200588/19009247, 02422200588 hoặc số điện thoại một chín không không chín hai bốn bảy
vivnpaybidv, ví vi en pây bi ai đi vi
mail, meo
gold, gôn
classic, cờ lát xích
mastercard, mát tơ cạc
debit, đe bít
credit, cờ re đít
đường dây nóng 24/7, đường dây nóng hai tư trên bảy
ttcskh, trung tâm chăm sóc khách hàng
cmnd, chứng minh nhân dân
wap, goát
nickname, ních nêm
tk, tài khoản
ctkm, chương trình khuyến mại
website, goét sai
8h-11h30, tám giờ đến mười một giờ ba mươi phút
13h-17h30, mười ba giờ đến mười bảy giờ ba mươi phút
nhánh 1-1-1, nhánh một một một
bidv247@bidv.com.vn, bi ai đi vi hai bốn bảy a còng bi ai đi vi chấm com chấm vi en
www.bidv.com.vn, vê kép vê kép vê kép chấm bi ai đi vi chấm com chấm vi en
smartotp, smart ô tê pê
voucher, vao chơ
membership, mem bơ síp
rewards, ri guốt
bpoint, bê poi
ott, o tê tê
shopeepay, sốp pi pây
kh, khách hàng
(a-z), từ a đến dét
(0-9), từ không đến chín
(0-9)., từ không đến chín
độ dài từ 4 đến 19 ký tự, độ dài từ bốn đến mười chín ký tự
sđt, số điện thoại
pos,
6-18, sáu đến mười tám
22-55, hai hai đến năm năm
22-60, hai hai đến sáu mươi
apps, áp
2 - 7 số, hai đến bảy số
1-2-1, một hai một
10k, mười nghìn
20k, hai mươi nghìn
nguyenvannam, nguyễn văn nam
nam88, nam tám tám
nhohanoi, nhớ hà nội
b-point, bê poi
selfie, seo phi
prepaid, pờ ri pết
at, tại
ôtô, ô tô
bidvmetlife, bi ai đi vi mét lai
24/7, hai tư trên bảy
swift, sờ guýp
western union, goét từn iu ni ừn
window phone, guyn đầu phôn
vntopup, vi en tóp ắp
cn/pgd, chi nhánh hoặc phòng giao dịch
ready, rít đi
premier, pờ re mi ời
young, giăng
plus, pờ lớt
precious, pờ ri sớt
smile, sờ mai
flexi, phờ lếch xi
bsms, bê ét em ét
brandname, bờ ren nêm
gdv, giao dịch viên
<số tài khoản>, số tài khoản
<mật khẩu nếu có>, mật khẩu nếu có
captcha, cáp cha
pgd/cn, phòng giao dịch hoặc chi nhánh
download, đao lốt
one, oăn
time, tham
password, pát guộc
golf, gốp
logistic, lô rít tích
gnnđ, ghi nợ nội địa
topup, tóp ắp
cn của bidv, chi nhánh của bi ai đi vi
ma gd, mã giao dịch
dt ho tro, điện thoại hỗ trợ
cnđkkd, chứng nhận đăng ký kinh doanh
tp, thành phố
00h, không giờ
22h-24h, hai hai giờ đến hai tư giờ
game, gêm
pgd, phòng giao dịch
8-16, tám đến mười sáu
2-4, hai đến bốn
nccdv, nhà cung cấp dịch vụ
pay+, pây cộng
<6 số cuối số thẻ >, sáu số cuối số thẻ
<6 số cuối số thẻ>, sáu số cuối số thẻ
<mã kích hoạt thẻ>, mã kích hoạt thẻ
kichhoat, kích hoạt
active, ách típ
bidv247@bidv.com.vn., bi ai đi vi hai bốn bảy a còng bi ai đi vi chấm com chấm vi en
www.bidv.com.vn., vê kép vê kép vê kép chấm bi ai đi vi chấm com chấm vi en
gd, giao dịch
e-commerce, i co mớt
business, bi zi nít
dịch vụ/ngày, dịch vụ trên ngày là
tdqt, tín dụng quốc tế
master, mát tơ
loyalty, loi ồ ty
cn bidv, chi nhánh bi ai đi vi
kh, khách hàng
cpin, xê pin
cp, cổ phần
vb2, văn bằng hai
&, và
gnqt, ghi nợ quốc tế
nh, ngân hàng
napas, na pát
union, iu ni ừn
15-18, mười lăm đến mười tám
kv, khu vực
cm, chứng minh
atm-bidv, ây ti em bi ai đi vi
web, goép
laovietbank, lào việt banh
bidv-harmony, bi ai đi vi ha mô ni
bidv-etrans, bi ai đi vi e chan
bidv-moving, bi ai đi vi mu vinh
bidv-co.op mart, bi ai đi vi co ốp mát
bidv-satra, bi ai đi vi sa tra
ott, ô tê tê
alert, ơ lớt
mobile, mô bai
face id, phây ai đi
priority, pờ rai o ri ty
9.0, chín chấm không
4.1.0, bốn chấm một chấm không
tablet, táp lét
zalo, da lô
https://bidv.com.vn/, bi ai đi vi chấm com chấm vi en
https://smartbanking.bidv.com.vn/, sờ mát banh kinh chấm bi ai đi vi chấm com chấm vi en
it, ai ti
vitamin, vi ta min
stress, sờ chét
yoga, do ga
8 - 20, tám đến hai mươi
caplocks, cáp lóc
bđsd, biến động số dư
popup, póp ắp
play, pờ lây
chplay, xê hát pờ lây
root, rút
jailbreak, rêu bờ rích
promax, bờ rô mắc
samsung, sam sung
iphone, ai phôn
galaxy, ga la xi
note, nốt
nhnn, ngân hàng nhà nước
biometrics, bai ô me chích
menu, mê nu
pht, phát hành thẻ
hmtd, hạn mức tín dụng
smartphone, sờ mát phôn
độ c, độ xê
cccd, căn cước công dân
tpbank, tê bê banh
hdbank, hát đê banh
bank, banh
vietinbank, việt tin banh
bidv, bi ai đi vi
abbank, a bê banh
sibibank, si bi bank
techcombank, tếch com banh
agribank, a gờ ri banh
seabank, se a banh
vpbank, vi bi banh
vietcombank, việt com banh
pgbank, bê gờ banh
gpbank, gờ bê banh
mbbank, mờ bê banh
postbank, pốt banh
vietabank, việt á banh
atm, ây ti em
pvbank, bê vê banh
eximbank, ê xim banh
sacombank, sa com banh
tmcp, tê em xê pê
publicbank, páp lịc banh
adriabank, a đờ ri banh
shinhanbank, shin han banh
oceanbank,ô sừn banh
namabank, nam á banh
pin, pin 
apt, ây bê tê
vpn,vê pê en
oppo, ốp bồ
wallet, wo lét
atm, ây ti em
plus, bờ lớt
iphone, ai phôn
laptop, láp tốp
samsung, sam sung
ios, ai o ét
sms, ét em ét
oneplus, oăn bờ lớt
plaza, bờ la da
shop, sốp
c h play, xê hát bờ lây
smart phone, sờ mát phôn
time out, tham ao
log out, lốc ao
faceid, phây ai đi
3g, ba gờ
mytv, mai ti vi
vincom, vin com
milo, mi lô
5g, năm gờ
